Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
35;infrastructure;VTR-3903677;40:0D:10:0B:2D:99;;1;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Fri Oct 20 08:51:09 2023;Fri Oct 20 08:52:37 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;JPablo_EXT;14:CC:20:E8:EB:35;;8;No;WPA,AES-CCM,TKIP;No;270.0;0;13;0;0;0;0;0;;;Fri Oct 20 08:50:41 2023;Fri Oct 20 08:52:38 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;Eli;E6:AB:89:1C:85:38;;11;No;WPA2,AES-CCM;No;130.0;0;2;0;1;0;0;1;;;Fri Oct 20 08:50:25 2023;Fri Oct 20 08:52:39 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;Expedientes;7C:DB:98:43:F1:0F;;6;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Fri Oct 20 08:51:31 2023;Fri Oct 20 08:52:32 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
39;infrastructure;VTR-7335606;48:D3:43:BE:A7:19;;1;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Fri Oct 20 08:50:44 2023;Fri Oct 20 08:52:54 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
40;infrastructure;VTR-5668386;E4:57:40:C0:DB:5B;;11;No;WPA2,AES-CCM;No;130.0;0;13;0;0;0;0;0;;;Fri Oct 20 08:50:36 2023;Fri Oct 20 08:52:54 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
41;infrastructure;Sala Hibrida-UDP;B0:1F:8C:E1:B2:00;;1;No;WPA3,AES-CCM,SAE;No;130.0;0;22;0;0;0;0;0;;;Fri Oct 20 08:50:37 2023;Fri Oct 20 08:52:37 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
42;infrastructure;VTR-1422237;E4:57:40:AB:75:91;;1;No;WPA2,AES-CCM;No;130.0;0;28;0;0;0;0;0;;;Fri Oct 20 08:50:22 2023;Fri Oct 20 08:52:51 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
43;infrastructure;movistar2,4GHZ_DAC020;46:48:B9:1E:84:0E;;1;No;WPA2,AES-CCM;No;270.0;0;10;0;0;0;0;0;;;Fri Oct 20 08:50:40 2023;Fri Oct 20 08:52:51 2023;-75;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
44;infrastructure;CLINICA_VISITAS;EC:08:6B:BC:D2:12;;2;No;WPA2,AES-CCM;No;270.0;0;4;0;0;0;0;0;;;Fri Oct 20 08:50:30 2023;Fri Oct 20 08:52:41 2023;-73;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
